company,date,close,signal
Bajaj Auto,2015-11-19 00:00:00,2423.65,HOLD
Bajaj Auto,2015-11-20 00:00:00,2468.5,BUY
Bajaj Auto,2015-11-23 00:00:00,2523.2,BUY
Bajaj Auto,2015-11-24 00:00:00,2478.85,HOLD
Bajaj Auto,2015-11-26 00:00:00,2462.4,SELL
Bajaj Auto,2015-11-27 00:00:00,2448.85,SELL
Bajaj Auto,2015-11-30 00:00:00,2481.55,HOLD
Bajaj Auto,2015-12-01 00:00:00,2461.2,HOLD
Bajaj Auto,2015-12-02 00:00:00,2499.4,HOLD
Bajaj Auto,2015-12-03 00:00:00,2481.1,HOLD
Bajaj Auto,2015-12-04 00:00:00,2469.15,SELL
Bajaj Auto,2015-12-07 00:00:00,2449.0,SELL
Bajaj Auto,2015-12-08 00:00:00,2462.45,HOLD
Bajaj Auto,2015-12-09 00:00:00,2390.45,HOLD
Bajaj Auto,2015-12-10 00:00:00,2441.45,HOLD
Bajaj Auto,2015-12-11 00:00:00,2411.9,HOLD
Bajaj Auto,2015-12-14 00:00:00,2409.75,SELL
Bajaj Auto,2015-12-15 00:00:00,2435.45,HOLD
Bajaj Auto,2015-12-16 00:00:00,2451.65,BUY
Bajaj Auto,2015-12-17 00:00:00,2524.2,BUY
Bajaj Auto,2015-12-18 00:00:00,2481.95,HOLD
Bajaj Auto,2015-12-21 00:00:00,2489.25,HOLD
Bajaj Auto,2015-12-22 00:00:00,2476.1,HOLD
Bajaj Auto,2015-12-23 00:00:00,2475.6,SELL
Bajaj Auto,2015-12-24 00:00:00,2484.8,HOLD
Bajaj Auto,2015-12-28 00:00:00,2487.45,BUY
Bajaj Auto,2015-12-29 00:00:00,2531.15,BUY
Bajaj Auto,2015-12-30 00:00:00,2515.5,HOLD
Bajaj Auto,2015-12-31 00:00:00,2533.5,HOLD
Bajaj Auto,2016-01-01 00:00:00,2520.05,HOLD
Bajaj Auto,2016-01-04 00:00:00,2488.15,SELL
Bajaj Auto,2016-01-05 00:00:00,2497.05,HOLD
Bajaj Auto,2016-01-06 00:00:00,2485.5,HOLD
Bajaj Auto,2016-01-07 00:00:00,2419.25,SELL
Bajaj Auto,2016-01-08 00:00:00,2376.85,SELL
Bajaj Auto,2016-01-11 00:00:00,2359.8,SELL
Bajaj Auto,2016-01-12 00:00:00,2342.45,SELL
Bajaj Auto,2016-01-13 00:00:00,2364.0,HOLD
Bajaj Auto,2016-01-14 00:00:00,2362.15,HOLD
Bajaj Auto,2016-01-15 00:00:00,2335.2,SELL
Bajaj Auto,2016-01-18 00:00:00,2249.6,SELL
Bajaj Auto,2016-01-19 00:00:00,2266.6,HOLD
Bajaj Auto,2016-01-20 00:00:00,2276.25,BUY
Bajaj Auto,2016-01-21 00:00:00,2274.0,HOLD
Bajaj Auto,2016-01-22 00:00:00,2317.6,HOLD
Bajaj Auto,2016-01-25 00:00:00,2323.15,BUY
Bajaj Auto,2016-01-27 00:00:00,2301.7,HOLD
Bajaj Auto,2016-01-28 00:00:00,2269.75,SELL
Bajaj Auto,2016-01-29 00:00:00,2341.9,HOLD
Bajaj Auto,2016-02-01 00:00:00,2328.1,HOLD
Bajaj Auto,2016-02-02 00:00:00,2362.55,HOLD
Bajaj Auto,2016-02-03 00:00:00,2348.05,HOLD
Bajaj Auto,2016-02-04 00:00:00,2310.05,SELL
Bajaj Auto,2016-02-05 00:00:00,2361.1,HOLD
Bajaj Auto,2016-02-08 00:00:00,2348.7,HOLD
Bajaj Auto,2016-02-09 00:00:00,2377.65,HOLD
Bajaj Auto,2016-02-10 00:00:00,2371.05,HOLD
Bajaj Auto,2016-02-11 00:00:00,2331.15,SELL
Bajaj Auto,2016-02-12 00:00:00,2302.95,SELL
Bajaj Auto,2016-02-15 00:00:00,2343.25,HOLD
Bajaj Auto,2016-02-16 00:00:00,2334.75,HOLD
Bajaj Auto,2016-02-17 00:00:00,2356.9,HOLD
Bajaj Auto,2016-02-18 00:00:00,2405.5,BUY
Bajaj Auto,2016-02-19 00:00:00,2457.0,BUY
Bajaj Auto,2016-02-22 00:00:00,2475.3,BUY
Bajaj Auto,2016-02-23 00:00:00,2396.25,HOLD
Bajaj Auto,2016-02-24 00:00:00,2344.65,SELL
Bajaj Auto,2016-02-25 00:00:00,2317.8,SELL
Bajaj Auto,2016-02-26 00:00:00,2236.85,SELL
Bajaj Auto,2016-02-29 00:00:00,2200.4,SELL
Bajaj Auto,2016-03-01 00:00:00,2260.0,HOLD
Bajaj Auto,2016-03-02 00:00:00,2233.6,HOLD
Bajaj Auto,2016-03-03 00:00:00,2279.25,HOLD
Bajaj Auto,2016-03-04 00:00:00,2304.7,BUY
Bajaj Auto,2016-03-08 00:00:00,2316.85,BUY
Bajaj Auto,2016-03-09 00:00:00,2313.85,HOLD
Bajaj Auto,2016-03-10 00:00:00,2319.9,HOLD
Bajaj Auto,2016-03-11 00:00:00,2325.8,BUY
Bajaj Auto,2016-03-14 00:00:00,2313.05,HOLD
Bajaj Auto,2016-03-15 00:00:00,2278.45,SELL
Bajaj Auto,2016-03-16 00:00:00,2249.65,SELL
Bajaj Auto,2016-03-17 00:00:00,2269.8,HOLD
Bajaj Auto,2016-03-18 00:00:00,2301.85,BUY
Bajaj Auto,2016-03-21 00:00:00,2311.8,BUY
Bajaj Auto,2016-03-22 00:00:00,2309.65,HOLD
Bajaj Auto,2016-03-23 00:00:00,2354.45,HOLD
Bajaj Auto,2016-03-28 00:00:00,2355.5,BUY
Bajaj Auto,2016-03-29 00:00:00,2347.3,HOLD
Bajaj Auto,2016-03-30 00:00:00,2417.2,HOLD
Bajaj Auto,2016-03-31 00:00:00,2406.1,HOLD
Bajaj Auto,2016-04-01 00:00:00,2417.15,HOLD
Bajaj Auto,2016-04-04 00:00:00,2449.7,BUY
Bajaj Auto,2016-04-05 00:00:00,2396.45,HOLD
Bajaj Auto,2016-04-06 00:00:00,2396.75,HOLD
Bajaj Auto,2016-04-07 00:00:00,2374.8,HOLD
Bajaj Auto,2016-04-08 00:00:00,2390.65,HOLD
Bajaj Auto,2016-04-11 00:00:00,2431.8,BUY
Bajaj Auto,2016-04-12 00:00:00,2459.1,BUY
Bajaj Auto,2016-04-13 00:00:00,2580.8,BUY
Bajaj Auto,2016-04-18 00:00:00,2540.3,HOLD
Bajaj Auto,2016-04-20 00:00:00,2536.3,SELL
Bajaj Auto,2016-04-21 00:00:00,2496.1,SELL
Bajaj Auto,2016-04-22 00:00:00,2521.1,HOLD
Bajaj Auto,2016-04-25 00:00:00,2543.25,BUY
Bajaj Auto,2016-04-26 00:00:00,2549.65,BUY
Bajaj Auto,2016-04-27 00:00:00,2549.1,HOLD
Bajaj Auto,2016-04-28 00:00:00,2488.45,SELL
Bajaj Auto,2016-04-29 00:00:00,2484.6,SELL
Bajaj Auto,2016-05-02 00:00:00,2477.55,SELL
Bajaj Auto,2016-05-03 00:00:00,2463.2,SELL
Bajaj Auto,2016-05-04 00:00:00,2459.2,SELL
Bajaj Auto,2016-05-05 00:00:00,2453.0,SELL
Bajaj Auto,2016-05-06 00:00:00,2435.85,SELL
Bajaj Auto,2016-05-09 00:00:00,2527.95,HOLD
Bajaj Auto,2016-05-10 00:00:00,2532.8,BUY
Bajaj Auto,2016-05-11 00:00:00,2517.75,HOLD
Bajaj Auto,2016-05-12 00:00:00,2550.45,HOLD
Bajaj Auto,2016-05-13 00:00:00,2514.3,HOLD
Bajaj Auto,2016-05-16 00:00:00,2518.6,HOLD
Bajaj Auto,2016-05-17 00:00:00,2513.0,HOLD
Bajaj Auto,2016-05-18 00:00:00,2466.45,SELL
Bajaj Auto,2016-05-19 00:00:00,2440.7,SELL
Bajaj Auto,2016-05-20 00:00:00,2461.0,HOLD
Bajaj Auto,2016-05-23 00:00:00,2416.75,HOLD
Bajaj Auto,2016-05-24 00:00:00,2384.5,SELL
Bajaj Auto,2016-05-25 00:00:00,2478.85,HOLD
Bajaj Auto,2016-05-26 00:00:00,2505.15,BUY
Bajaj Auto,2016-05-27 00:00:00,2567.45,BUY
Bajaj Auto,2016-05-30 00:00:00,2608.75,BUY
Bajaj Auto,2016-05-31 00:00:00,2618.9,BUY
Bajaj Auto,2016-06-01 00:00:00,2602.7,HOLD
Bajaj Auto,2016-06-02 00:00:00,2594.85,SELL
Bajaj Auto,2016-06-03 00:00:00,2635.0,HOLD
Bajaj Auto,2016-06-06 00:00:00,2633.25,HOLD
Bajaj Auto,2016-06-07 00:00:00,2642.25,HOLD
Bajaj Auto,2016-06-08 00:00:00,2631.55,HOLD
Bajaj Auto,2016-06-09 00:00:00,2593.25,SELL
Bajaj Auto,2016-06-10 00:00:00,2585.05,SELL
Bajaj Auto,2016-06-13 00:00:00,2587.2,HOLD
Bajaj Auto,2016-06-14 00:00:00,2561.2,HOLD
Bajaj Auto,2016-06-15 00:00:00,2602.1,HOLD
Bajaj Auto,2016-06-16 00:00:00,2566.4,HOLD
Bajaj Auto,2016-06-17 00:00:00,2577.1,HOLD
Bajaj Auto,2016-06-20 00:00:00,2612.05,BUY
Bajaj Auto,2016-06-21 00:00:00,2625.2,BUY
Bajaj Auto,2016-06-22 00:00:00,2626.65,BUY
Bajaj Auto,2016-06-23 00:00:00,2651.25,BUY
Bajaj Auto,2016-06-24 00:00:00,2679.0,BUY
Bajaj Auto,2016-06-27 00:00:00,2651.6,HOLD
Bajaj Auto,2016-06-28 00:00:00,2626.2,SELL
Bajaj Auto,2016-06-29 00:00:00,2644.75,HOLD
Bajaj Auto,2016-06-30 00:00:00,2686.25,BUY
Bajaj Auto,2016-07-01 00:00:00,2668.9,HOLD
Bajaj Auto,2016-07-04 00:00:00,2650.85,SELL
Bajaj Auto,2016-07-05 00:00:00,2613.95,SELL
Bajaj Auto,2016-07-07 00:00:00,2610.4,SELL
Bajaj Auto,2016-07-08 00:00:00,2606.45,SELL
Bajaj Auto,2016-07-11 00:00:00,2649.2,HOLD
Bajaj Auto,2016-07-12 00:00:00,2652.15,BUY
Bajaj Auto,2016-07-13 00:00:00,2655.65,BUY
Bajaj Auto,2016-07-14 00:00:00,2661.55,BUY
Bajaj Auto,2016-07-15 00:00:00,2688.4,BUY
Bajaj Auto,2016-07-18 00:00:00,2755.8,BUY
Bajaj Auto,2016-07-19 00:00:00,2750.25,HOLD
Bajaj Auto,2016-07-20 00:00:00,2769.0,HOLD
Bajaj Auto,2016-07-21 00:00:00,2764.9,HOLD
Bajaj Auto,2016-07-22 00:00:00,2720.75,SELL
Bajaj Auto,2016-07-25 00:00:00,2700.0,SELL
Bajaj Auto,2016-07-26 00:00:00,2670.15,SELL
Bajaj Auto,2016-07-27 00:00:00,2668.75,SELL
Bajaj Auto,2016-07-28 00:00:00,2660.6,SELL
Bajaj Auto,2016-07-29 00:00:00,2702.0,HOLD
Bajaj Auto,2016-08-01 00:00:00,2735.4,BUY
Bajaj Auto,2016-08-02 00:00:00,2748.45,BUY
Bajaj Auto,2016-08-03 00:00:00,2716.3,HOLD
Bajaj Auto,2016-08-04 00:00:00,2739.8,HOLD
Bajaj Auto,2016-08-05 00:00:00,2859.85,BUY
Bajaj Auto,2016-08-08 00:00:00,2873.0,BUY
Bajaj Auto,2016-08-09 00:00:00,2864.15,HOLD
Bajaj Auto,2016-08-10 00:00:00,2849.0,SELL
Bajaj Auto,2016-08-11 00:00:00,2844.7,SELL
Bajaj Auto,2016-08-12 00:00:00,2867.45,HOLD
Bajaj Auto,2016-08-16 00:00:00,2875.65,BUY
Bajaj Auto,2016-08-17 00:00:00,2932.9,BUY
Bajaj Auto,2016-08-18 00:00:00,2942.75,BUY
Bajaj Auto,2016-08-19 00:00:00,2931.5,HOLD
Bajaj Auto,2016-08-22 00:00:00,2931.45,SELL
Bajaj Auto,2016-08-23 00:00:00,2875.25,SELL
Bajaj Auto,2016-08-24 00:00:00,2872.25,SELL
Bajaj Auto,2016-08-25 00:00:00,2863.0,SELL
Bajaj Auto,2016-08-26 00:00:00,2857.25,SELL
Bajaj Auto,2016-08-29 00:00:00,2884.3,HOLD
Bajaj Auto,2016-08-30 00:00:00,2982.15,BUY
Bajaj Auto,2016-08-31 00:00:00,2980.95,HOLD
Bajaj Auto,2016-09-01 00:00:00,2996.55,HOLD
Bajaj Auto,2016-09-02 00:00:00,2999.85,BUY
Bajaj Auto,2016-09-06 00:00:00,3006.65,BUY
Bajaj Auto,2016-09-07 00:00:00,2985.85,HOLD
Bajaj Auto,2016-09-08 00:00:00,3090.55,HOLD
Bajaj Auto,2016-09-09 00:00:00,3034.1,HOLD
Bajaj Auto,2016-09-12 00:00:00,2955.3,SELL
Bajaj Auto,2016-09-14 00:00:00,2980.05,HOLD
Bajaj Auto,2016-09-15 00:00:00,2931.95,HOLD
Bajaj Auto,2016-09-16 00:00:00,2980.0,HOLD
Bajaj Auto,2016-09-19 00:00:00,2945.75,HOLD
Bajaj Auto,2016-09-20 00:00:00,2888.1,SELL
Bajaj Auto,2016-09-21 00:00:00,2902.9,HOLD
Bajaj Auto,2016-09-22 00:00:00,2925.5,BUY
Bajaj Auto,2016-09-23 00:00:00,2926.6,BUY
Bajaj Auto,2016-09-26 00:00:00,2890.75,HOLD
Bajaj Auto,2016-09-27 00:00:00,2871.05,SELL
Bajaj Auto,2016-09-28 00:00:00,2913.9,HOLD
