Title,Name,Platform_engagement,Platform_salesdata,Release Date,Year,Primary_Genre,Genres,Genre,Team,Publisher,Rating,Plays,Backlogs,Wishlist,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Metal Gear Solid V: Ground Zeroes,Metal Gear Solid V: Ground Zeroes,,PS3,"Mar 18, 2014",2014.0,['Adventure',"['Adventure', 'RPG', 'Shooter', 'Strategy']",Action,"['Konami', 'Kojima Productions']",Konami Digital Entertainment,3.3,0,0,549,0.14,0.14,0.27,0.06,0.62
Metal Gear Solid V: Ground Zeroes,Metal Gear Solid V: Ground Zeroes,,XOne,"Mar 18, 2014",2014.0,['Adventure',"['Adventure', 'RPG', 'Shooter', 'Strategy']",Action,"['Konami', 'Kojima Productions']",Konami Digital Entertainment,3.3,0,0,549,0.15,0.11,0.0,0.02,0.28
Metal Gear Solid V: Ground Zeroes,Metal Gear Solid V: Ground Zeroes,,X360,"Mar 18, 2014",2014.0,['Adventure',"['Adventure', 'RPG', 'Shooter', 'Strategy']",Action,"['Konami', 'Kojima Productions']",Konami Digital Entertainment,3.3,0,0,549,0.07,0.06,0.01,0.01,0.15
Banjo-Kazooie,Banjo-Kazooie,,N64,"Jun 29, 1998",1998.0,['Adventure',"['Adventure', 'Platform']",Platform,"['Microsoft Game Studios', 'Rare']",Nintendo,4.0,0,0,765,1.87,1.13,0.55,0.1,3.65
Banjo-Kazooie,Banjo-Kazooie,,X360,"Jun 29, 1998",2008.0,['Adventure',"['Adventure', 'Platform']",Platform,"['Microsoft Game Studios', 'Rare']",Microsoft Game Studios,4.0,0,0,765,0.0,0.01,0.0,0.0,0.01
Call of Duty: Black Ops II,Call of Duty: Black Ops II,,PS3,"Nov 12, 2012",2012.0,['Shooter'],['Shooter'],Shooter,"['Treyarch', 'Activision']",Activision,3.8,0,626,286,4.99,5.88,0.65,2.52,14.03
Call of Duty: Black Ops II,Call of Duty: Black Ops II,,X360,"Nov 12, 2012",2012.0,['Shooter'],['Shooter'],Shooter,"['Treyarch', 'Activision']",Activision,3.8,0,626,286,8.25,4.3,0.07,1.12,13.73
Call of Duty: Black Ops II,Call of Duty: Black Ops II,,PC,"Nov 12, 2012",2012.0,['Shooter'],['Shooter'],Shooter,"['Treyarch', 'Activision']",Activision,3.8,0,626,286,0.63,0.69,0.0,0.21,1.53
Call of Duty: Black Ops II,Call of Duty: Black Ops II,,WiiU,"Nov 12, 2012",2012.0,['Shooter'],['Shooter'],Shooter,"['Treyarch', 'Activision']",Activision,3.8,0,626,286,0.21,0.18,0.0,0.03,0.43
Mega Man X,Mega Man X,,SNES,"Dec 17, 1993",1993.0,['Adventure',"['Adventure', 'Platform', 'Shooter']",Platform,"['Rozner Labs Software Group', 'Nintendo']",Capcom,4.1,0,0,385,0.57,0.08,0.5,0.01,1.16
