season_id,name,year,competition_id
sr:season:124327,"ATP Houston, USA Men Singles 2025",2025,sr:competition:2751
sr:season:111346,"ATP Houston, USA Men Singles 2024",2024,sr:competition:2751
sr:season:134103,"ATP Houston, USA Men Doubles 2026",2026,sr:competition:2753
sr:season:124331,"ATP Houston, USA Men Doubles 2025",2025,sr:competition:2753
sr:season:111348,"ATP Houston, USA Men Doubles 2024",2024,sr:competition:2753
sr:season:124139,"WTA Charleston, USA Women Singles 2025",2025,sr:competition:2763
sr:season:112886,"WTA Charleston, USA Women Singles 2024",2024,sr:competition:2763
sr:season:99233,"WTA Charleston, USA Women Singles 2023",2023,sr:competition:2763
sr:season:124141,"WTA Charleston, USA Women Doubles 2025",2025,sr:competition:2765
sr:season:112888,"WTA Charleston, USA Women Doubles 2024",2024,sr:competition:2765
sr:season:99235,"WTA Charleston, USA Women Doubles 2023",2023,sr:competition:2765
sr:season:134339,"ATP Barcelona, Spain Men Singles 2026",2026,sr:competition:2769
sr:season:124607,"ATP Barcelona, Spain Men Singles 2025",2025,sr:competition:2769
sr:season:111356,"ATP Barcelona, Spain Men Singles 2024",2024,sr:competition:2769
sr:season:134337,"ATP Barcelona, Spain Men Doubles 2026",2026,sr:competition:2771
sr:season:124605,"ATP Barcelona, Spain Men Doubles 2025",2025,sr:competition:2771
sr:season:111358,"ATP Barcelona, Spain Men Doubles 2024",2024,sr:competition:2771
sr:season:134423,"ATP Stuttgart, Germany Men Singles 2026",2026,sr:competition:2775
sr:season:124639,"ATP Stuttgart, Germany Men Singles 2025",2025,sr:competition:2775
sr:season:111398,"ATP Stuttgart, Germany Men Singles 2024",2024,sr:competition:2775
sr:season:134425,"ATP Stuttgart, Germany Men Doubles 2026",2026,sr:competition:2777
sr:season:124637,"ATP Stuttgart, Germany Men Doubles 2025",2025,sr:competition:2777
sr:season:111400,"ATP Stuttgart, Germany Men Doubles 2024",2024,sr:competition:2777
sr:season:134367,"ATP Rome, Italy Men Singles 2026",2026,sr:competition:2781
sr:season:124619,"ATP Rome, Italy Men Singles 2025",2025,sr:competition:2781
sr:season:111378,"ATP Rome, Italy Men Singles 2024",2024,sr:competition:2781
sr:season:134365,"ATP Rome, Italy Men Doubles 2026",2026,sr:competition:2783
sr:season:124617,"ATP Rome, Italy Men Doubles 2025",2025,sr:competition:2783
sr:season:111380,"ATP Rome, Italy Men Doubles 2024",2024,sr:competition:2783
sr:season:134361,"ATP Madrid, Spain Men Singles 2026",2026,sr:competition:2787
sr:season:124615,"ATP Madrid, Spain Men Singles 2025",2025,sr:competition:2787
sr:season:111368,"ATP Madrid, Spain Men Singles 2024",2024,sr:competition:2787
sr:season:134363,"ATP Madrid, Spain Men Doubles 2026",2026,sr:competition:2789
sr:season:124613,"ATP Madrid, Spain Men Doubles 2025",2025,sr:competition:2789
sr:season:111370,"ATP Madrid, Spain Men Doubles 2024",2024,sr:competition:2789
sr:season:124191,"Berlin, Germany Women Singles 2025",2025,sr:competition:2793
sr:season:113038,"Berlin, Germany Women Singles 2024",2024,sr:competition:2793
sr:season:99363,"Berlin, Germany Women Singles 2023",2023,sr:competition:2793
sr:season:124193,"Berlin, Germany Women Doubles 2025",2025,sr:competition:2795
sr:season:113040,"Berlin, Germany Women Doubles 2024",2024,sr:competition:2795
sr:season:99365,"Berlin, Germany Women Doubles 2023",2023,sr:competition:2795
sr:season:124071,"WTA Hobart, Australia Women Singles 2025",2025,sr:competition:2805
sr:season:112822,"WTA Hobart, Australia Women Singles 2024",2024,sr:competition:2805
sr:season:98911,"WTA Hobart, Australia Women Singles 2023",2023,sr:competition:2805
sr:season:124073,"WTA Hobart, Australia Women Doubles 2025",2025,sr:competition:2807
sr:season:112824,"WTA Hobart, Australia Women Doubles 2024",2024,sr:competition:2807
sr:season:98913,"WTA Hobart, Australia Women Doubles 2023",2023,sr:competition:2807
sr:season:124171,"WTA Strasbourg, France Women Singles 2025",2025,sr:competition:2823
sr:season:112906,"WTA Strasbourg, France Women Singles 2024",2024,sr:competition:2823
sr:season:99309,"WTA Strasbourg, France Women Singles 2023",2023,sr:competition:2823
sr:season:124173,"WTA Strasbourg, France Women Doubles 2025",2025,sr:competition:2825
sr:season:112908,"WTA Strasbourg, France Women Doubles 2024",2024,sr:competition:2825
sr:season:99311,"WTA Strasbourg, France Women Doubles 2023",2023,sr:competition:2825
sr:season:117971,"ATP Challenger Amersfoort, Netherlands Men Singles 2024",2024,sr:competition:2829
sr:season:104695,"ATP Challenger Amersfoort, Netherlands Men Singles 2023",2023,sr:competition:2829
sr:season:93435,"ATP Challenger Amersfoort, Netherlands Men Singles 2022",2022,sr:competition:2829
sr:season:117969,"ATP Challenger Amersfoort, Netherlands Men Doubles 2024",2024,sr:competition:2831
sr:season:104693,"ATP Challenger Amersfoort, Netherlands Men Doubles 2023",2023,sr:competition:2831
sr:season:93433,"ATP Challenger Amersfoort, Netherlands Men Doubles 2022",2022,sr:competition:2831
sr:season:134345,"ATP Munich, Germany Men Singles 2026",2026,sr:competition:2835
sr:season:124611,"ATP Munich, Germany Men Singles 2025",2025,sr:competition:2835
sr:season:111360,"ATP Munich, Germany Men Singles 2024",2024,sr:competition:2835
sr:season:134347,"ATP Munich, Germany Men Doubles 2026",2026,sr:competition:2837
sr:season:124609,"ATP Munich, Germany Men Doubles 2025",2025,sr:competition:2837
sr:season:111362,"ATP Munich, Germany Men Doubles 2024",2024,sr:competition:2837
sr:season:113034,"WTA Birmingham, Great Britain Women Singles 2024",2024,sr:competition:2853
sr:season:99367,"WTA Birmingham, Great Britain Women Singles 2023",2023,sr:competition:2853
sr:season:89447,"WTA Birmingham, Great Britain Women Singles 2022",2022,sr:competition:2853
sr:season:113036,"WTA Birmingham, Great Britain Women Doubles 2024",2024,sr:competition:2855
sr:season:99369,"WTA Birmingham, Great Britain Women Doubles 2023",2023,sr:competition:2855
sr:season:89449,"WTA Birmingham, Great Britain Women Doubles 2022",2022,sr:competition:2855
sr:season:134427,"ATP Halle, Germany Men Singles 2026",2026,sr:competition:2859
sr:season:124643,"ATP Halle, Germany Men Singles 2025",2025,sr:competition:2859
sr:season:111402,"ATP Halle, Germany Men Singles 2024",2024,sr:competition:2859
sr:season:134429,"ATP Halle, Germany Men Doubles 2026",2026,sr:competition:2861
